uid,date,n_convo,minutes_convo,n_unlocks,n_scans,n_bt_unique,sleep,stress,deadline_day,weekday,weekend
0,2013-03-24,0,0,0,0,0,NA,NA,0,Sun,1
0,2013-03-25,0,0,0,0,0,8,2,0,Mon,0
0,2013-03-26,0,0,0,0,0,7.5,2,0,Tue,0
0,2013-03-27,21,0,5,169,0,8,1,0,Wed,0
0,2013-03-28,21,0,1,150,0,6.5,2.6666666666666665,0,Thu,0
0,2013-03-29,32,0,6,196,0,6,2.5,0,Fri,0
0,2013-03-30,32,0,4,24,0,NA,4,0,Sat,1
0,2013-03-31,22,0,6,0,0,9,4.5,0,Sun,1
0,2013-04-01,28,0,2,167,0,3,NA,0,Mon,0
0,2013-04-02,38,0,6,25,0,NA,1,0,Tue,0
0,2013-04-03,33,0,6,180,0,5,1.5,0,Wed,0
0,2013-04-04,24,0,0,56,0,10,2.75,0,Thu,0
0,2013-04-05,28,0,4,0,0,4,1.5,0,Fri,0
0,2013-04-06,35,0,4,0,0,9,1,0,Sat,1
0,2013-04-07,31,0,4,0,0,9,5,0,Sun,1
0,2013-04-08,37,0,6,146,0,4.5,3,0,Mon,0
0,2013-04-09,26,0,3,47,0,6,2,0,Tue,0
0,2013-04-10,34,0,2,51,0,5,1,0,Wed,0
0,2013-04-11,33,0,2,119,0,8,NA,0,Thu,0
0,2013-04-12,35,0,4,192,0,3,2,0,Fri,0
0,2013-04-13,48,0,2,0,0,NA,NA,0,Sat,1
0,2013-04-14,42,0,7,0,0,10.666666666666666,3,0,Sun,1
0,2013-04-15,35,0,4,211,0,3,3,0,Mon,0
0,2013-04-16,32,0,5,138,0,NA,3,0,Tue,0
0,2013-04-17,23,0,3,226,0,3,3,0,Wed,0
0,2013-04-18,16,0,3,166,0,NA,4,0,Thu,0
0,2013-04-19,36,0,3,180,0,NA,NA,0,Fri,0
0,2013-04-20,23,0,4,12,0,8,NA,0,Sat,1
0,2013-04-21,44,0,4,0,0,8,NA,0,Sun,1
0,2013-04-22,26,0,4,264,0,3,NA,0,Mon,0
0,2013-04-23,31,0,6,173,0,6,1,0,Tue,0
0,2013-04-24,33,0,3,14,0,9,NA,0,Wed,0
0,2013-04-25,31,0,4,216,0,5,1,0,Thu,0
0,2013-04-26,32,0,4,228,0,NA,1,0,Fri,0
0,2013-04-27,38,0,4,2,0,NA,NA,0,Sat,1
0,2013-04-28,34,0,6,0,0,NA,1,0,Sun,1
0,2013-04-29,32,0,3,255,0,NA,2,0,Mon,0
0,2013-04-30,42,0,3,98,0,NA,3,0,Tue,0
0,2013-05-01,53,0,6,280,0,3,NA,0,Wed,0
0,2013-05-02,13,0,2,31,0,NA,NA,0,Thu,0
0,2013-05-03,50,0,5,97,0,NA,NA,0,Fri,0
0,2013-05-04,44,0,3,48,0,NA,NA,0,Sat,1
0,2013-05-05,47,0,3,101,0,10,NA,0,Sun,1
0,2013-05-06,65,0,5,95,0,9,NA,0,Mon,0
0,2013-05-07,39,0,5,101,0,NA,1,0,Tue,0
0,2013-05-08,36,0,4,62,0,6,3,0,Wed,0
0,2013-05-09,35,0,5,162,0,10,4,0,Thu,0
0,2013-05-10,29,0,4,201,0,11,NA,0,Fri,0
0,2013-05-11,37,0,4,3,0,NA,NA,0,Sat,1
0,2013-05-12,34,0,3,3,0,NA,NA,0,Sun,1
0,2013-05-13,23,0,3,211,0,15,NA,0,Mon,0
0,2013-05-14,32,0,3,2,0,NA,NA,0,Tue,0
0,2013-05-15,49,0,3,231,0,NA,2.5,0,Wed,0
0,2013-05-16,20,0,2,14,0,10,4,0,Thu,0
0,2013-05-17,20,0,2,126,0,9,4,0,Fri,0
0,2013-05-18,6,0,0,0,0,NA,4,0,Sat,1
0,2013-05-19,26,0,3,0,0,NA,NA,0,Sun,1
0,2013-05-20,13,0,0,0,0,NA,1,0,Mon,0
0,2013-05-21,0,0,0,0,0,NA,2,0,Tue,0
0,2013-05-22,5,0,0,25,0,NA,1,0,Wed,0
0,2013-05-23,33,0,3,144,0,9,1,0,Thu,0
0,2013-05-24,39,0,1,61,0,9,1,0,Fri,0
0,2013-05-25,43,0,1,79,0,7,2,0,Sat,1
0,2013-05-26,34,0,2,7,0,12,NA,0,Sun,1
0,2013-05-27,43,0,4,546,0,NA,NA,0,Mon,0
0,2013-05-28,29,0,4,260,0,9,NA,0,Tue,0
0,2013-05-29,37,0,1,590,0,1,NA,0,Wed,0
0,2013-05-30,23,0,2,89,0,NA,NA,0,Thu,0
0,2013-05-31,45,0,6,45,0,10,NA,0,Fri,0
0,2013-06-01,1,0,0,3,0,NA,NA,0,Sat,1
0,2013-06-02,0,0,0,0,0,9,NA,0,Sun,1
0,2013-06-03,0,0,0,0,0,NA,1,0,Mon,0
0,2013-08-07,0,0,0,0,0,NA,1,0,Wed,0
0,2013-08-08,0,0,0,0,0,NA,3,0,Thu,0
0,2013-08-10,0,0,0,0,0,NA,1,0,Sat,1
0,2013-08-16,0,0,0,0,0,NA,2,0,Fri,0
1,2013-03-24,0,0,0,0,0,NA,NA,0,Sun,1
1,2013-03-27,12,0,4,37,0,7,4,1,Wed,0
1,2013-03-28,38,0,3,74,0,10,4,1,Thu,0
1,2013-03-29,45,0,6,100,0,7,1,1,Fri,0
1,2013-03-30,24,0,6,74,0,8,3,1,Sat,1
1,2013-03-31,36,0,4,77,0,8,1,1,Sun,1
1,2013-04-01,46,0,3,25,0,7,2,1,Mon,0
1,2013-04-02,35,0,1,17,0,8,NA,1,Tue,0
1,2013-04-03,26,0,6,96,0,6,1,1,Wed,0
1,2013-04-04,42,0,2,52,0,8,4,1,Thu,0
1,2013-04-05,41,0,8,30,0,7,4,1,Fri,0
1,2013-04-06,33,0,5,39,0,8,4.5,1,Sat,1
1,2013-04-07,32,0,2,17,0,9,1,1,Sun,1
1,2013-04-08,52,0,5,18,0,6,NA,1,Mon,0
1,2013-04-09,31,0,3,0,0,NA,1,1,Tue,0
1,2013-04-10,41,0,6,0,0,6.5,1.5,1,Wed,0
1,2013-04-11,34,0,7,0,0,6,1,1,Thu,0
1,2013-04-12,40,0,6,142,0,5,1,1,Fri,0
1,2013-04-13,33,0,4,27,0,9,4,1,Sat,1
1,2013-04-14,29,0,4,33,0,8,1,1,Sun,1
1,2013-04-15,44,0,4,42,0,NA,NA,1,Mon,0
1,2013-04-16,47,0,2,40,0,NA,1,1,Tue,0
1,2013-04-17,57,0,5,120,0,6,1,1,Wed,0
